model,best_cv_roc_auc,test_accuracy,test_precision,test_recall,test_f1_score,test_roc_auc,best_params
XGBoost,0.8504440148111445,0.8041163946061036,0.6701388888888888,0.516042780748663,0.5830815709969789,0.8481050918391072,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__scale_pos_weight': 1, 'classifier__subsample': 0.8}"
CatBoost,0.850411193022963,0.7480482611781405,0.5164075993091537,0.7994652406417112,0.6274921301154249,0.84755095714175,"{'classifier__auto_class_weights': 'Balanced', 'classifier__depth': 4, 'classifier__iterations': 200, 'classifier__l2_leaf_reg': 5, 'classifier__learning_rate': 0.05}"
LightGBM,0.8486506655174353,0.8005677785663591,0.6597938144329897,0.5133689839572193,0.5774436090225564,0.8473998294970161,"{'classifier__class_weight': None, 'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.05, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__num_leaves': 15, 'classifier__subsample': 0.8}"
Random Forest,0.8452581791163517,0.765791341376863,0.5445344129554656,0.7192513368983957,0.619815668202765,0.8392415200599345,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}"
